trn,registry,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address,euctr_country
NCT04342689,ClinicalTrials.gov,2020-04-08,2020-06-03,FALSE,Recruiting,Phase 2/Phase 3,Interventional,United States,The Role of Resistant Starch in COVID-19 Infection,1500,https://clinicaltrials.gov/show/NCT04342689,NA
NCT04344119,ClinicalTrials.gov,2020-04-09,2020-04-09,FALSE,Recruiting,Not Applicable,Observational,France,Assessment of Chilbains Occuring During Covid-19 Infection,30,https://clinicaltrials.gov/show/NCT04344119,NA
NCT04356950,ClinicalTrials.gov,2020-04-16,2020-04-28,FALSE,Not Recruiting,Not Applicable,Observational,France,Analysis of the Coagulopathy Developed by COVID-19 Infected Patients,175,https://clinicaltrials.gov/show/NCT04356950,NA
NCT04366050,ClinicalTrials.gov,2020-04-24,2020-05-11,FALSE,Recruiting,Phase 2,Interventional,United States,Ramipril for the Treatment of COVID-19,560,https://clinicaltrials.gov/show/NCT04366050,NA
NCT04366778,ClinicalTrials.gov,2020-04-23,2020-05-01,FALSE,Not Recruiting,Not Applicable,Observational,France,Thrombosis and Covid-19,341,https://clinicaltrials.gov/show/NCT04366778,NA
NCT04384055,ClinicalTrials.gov,2020-05-08,2020-03-21,TRUE,Recruiting,Not Applicable,Observational,United States,Predicting Outcomes for Covid-19 Using Sonography,200,https://clinicaltrials.gov/show/NCT04384055,NA
NCT04386239,ClinicalTrials.gov,2020-05-07,2021-01-01,FALSE,Recruiting,Phase 1,Interventional,Italy,Study on the Use of Sarilumab in Patients With COVID-19 Infection,40,https://clinicaltrials.gov/show/NCT04386239,NA
NCT04390126,ClinicalTrials.gov,2020-05-14,2020-04-20,TRUE,Not Recruiting,Not Applicable,Observational,France,COVID-19 Related Lockdown Effects On Chronic Diseases,1200,https://clinicaltrials.gov/show/NCT04390126,NA
NCT04406389,ClinicalTrials.gov,2020-05-26,2020-10-13,FALSE,Recruiting,Phase 4,Interventional,United States,Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial),186,https://clinicaltrials.gov/show/NCT04406389,NA
NCT04409509,ClinicalTrials.gov,2020-05-28,2020-07-01,FALSE,Not Recruiting,Phase 2,Interventional,United States,Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID-19),124,https://clinicaltrials.gov/show/NCT04409509,NA
NCT04409925,ClinicalTrials.gov,2020-05-13,2020-12-25,FALSE,Recruiting,Phase 1,Interventional,Canada,DISmantling COvid iNduced Neutrophil ExtraCellular Traps (DISCONNECT-1),25,https://clinicaltrials.gov/show/NCT04409925,NA
NCT04410562,ClinicalTrials.gov,2020-05-26,2020-05-13,TRUE,Recruiting,Phase 3,Interventional,Spain,Hydroxychloroquine Efficacy and Safety in Preventing SARS-CoV-2 Infection and COVID-19 Disease Severity During Pregnancy and Postpartum,714,https://clinicaltrials.gov/show/NCT04410562,NA
NCT04414124,ClinicalTrials.gov,2020-06-01,2020-08-02,FALSE,Not Recruiting,Not Applicable,Interventional,United States,A Clinical Study to Assess the Natural History of COVID-19 and Effects of KB109 and Supportive Self-care in Outpatients With Mild-to-moderate COVID-19,350,https://clinicaltrials.gov/show/NCT04414124,NA
NCT04424992,ClinicalTrials.gov,2020-06-04,2020-02-28,TRUE,Recruiting,Not Applicable,Observational,Italy,The Natural History of Hospitalized COVID-19 Patients,1433,https://clinicaltrials.gov/show/NCT04424992,NA
NCT04425005,ClinicalTrials.gov,2020-06-08,2020-05-10,TRUE,Not Recruiting,Not Applicable,Interventional,Brazil,Home-based Exercise Training During Covid-19 Pandemic in Post-bariatric,55,https://clinicaltrials.gov/show/NCT04425005,NA
NCT04425616,ClinicalTrials.gov,2020-06-03,2020-06-04,FALSE,Recruiting,Not Applicable,Interventional,United Kingdom,SafeFit Trial: Virtual Clinics to Deliver Universal Interventions in People With Cancer,1100,https://clinicaltrials.gov/show/NCT04425616,NA
NCT04426318,ClinicalTrials.gov,2020-06-09,2020-06-14,FALSE,Not Recruiting,Not Applicable,Interventional,United States,COVID-19 and the Healthy Minds Program for Educators,733,https://clinicaltrials.gov/show/NCT04426318,NA
NCT04438239,ClinicalTrials.gov,2020-06-10,2020-06-22,FALSE,Not Recruiting,Not Applicable,Observational,Italy,Rehabilitation Needs After COVID-19 Hospital Treatment,150,https://clinicaltrials.gov/show/NCT04438239,NA
NCT04444401,ClinicalTrials.gov,2020-06-22,2020-06-15,TRUE,Recruiting,Not Applicable,Observational,Italy,Registry on NEN Patients and COVID-19,50,https://clinicaltrials.gov/show/NCT04444401,NA
NCT04445441,ClinicalTrials.gov,2020-06-22,2020-04-24,TRUE,Not Recruiting,Not Applicable,Observational,Burkina Faso,An Observational Study to Assess the Protocol for the COVID-19 Treatment in Burkina Faso,153,https://clinicaltrials.gov/show/NCT04445441,NA
NCT04455815,ClinicalTrials.gov,2020-06-25,2020-09-25,FALSE,Recruiting,Phase 2/Phase 3,Interventional,United Kingdom,A Trial Looking at the Use of Camostat to Reduce Progression of Symptoms of Coronavirus (COVID-19) in People Who Have Tested Positive But Are Able to Stay at Home,389,https://clinicaltrials.gov/show/NCT04455815,NA
NCT04456088,ClinicalTrials.gov,2020-07-01,2020-07-15,FALSE,Not Recruiting,Phase 2,Interventional,No Country Given,Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (CANADA Trial),0,https://clinicaltrials.gov/show/NCT04456088,NA
NCT04468009,ClinicalTrials.gov,2020-07-09,2020-06-25,TRUE,Recruiting,Phase 2,Interventional,Argentina,Treatment of Critically Ill Patients With Covid-19 With Convalescent Plasma,36,https://clinicaltrials.gov/show/NCT04468009,NA
NCT04476888,ClinicalTrials.gov,2020-07-16,2020-04-26,TRUE,Not Recruiting,Not Applicable,Interventional,Pakistan,Convalescent Plasma Treatment in COVID-19,110,https://clinicaltrials.gov/show/NCT04476888,NA
NCT04482361,ClinicalTrials.gov,2020-07-20,2020-08-06,FALSE,Not Recruiting,Not Applicable,Observational,Argentina,SERO-EPIDEMIOLOGY OF SARS-COV2 INFECTION IN THE AUTONOMOUS CITY OF BUENOS AIRES,5900,https://clinicaltrials.gov/show/NCT04482361,NA
NCT04482595,ClinicalTrials.gov,2020-07-17,2020-11-11,FALSE,Recruiting,Phase 2,Interventional,United States,BIO 300 Oral Suspension in Discharged COVID-19 Patients,66,https://clinicaltrials.gov/show/NCT04482595,NA
NCT04483960,ClinicalTrials.gov,2020-07-22,2020-07-28,FALSE,Recruiting,Phase 3,Interventional,Australia,Australasian COVID-19 Trial (ASCOT) ADAptive Platform Trial,2400,https://clinicaltrials.gov/show/NCT04483960,NA
NCT04485338,ClinicalTrials.gov,2020-07-23,2020-08-01,FALSE,Recruiting,Not Applicable,Observational,Netherlands,Chest Radiography in COVID-19 Patients,200,https://clinicaltrials.gov/show/NCT04485338,NA
NCT04487769,ClinicalTrials.gov,2020-07-24,2020-06-01,TRUE,Recruiting,Not Applicable,Observational,Netherlands,Lung Ultrasound in COVID-19 Patients,30,https://clinicaltrials.gov/show/NCT04487769,NA
NCT04502433,ClinicalTrials.gov,2020-08-03,2021-01-06,FALSE,Recruiting,Phase 2,Interventional,United Kingdom,Poractant Alfa - Curosurf and SARS-COV-19 ARDS (Covid-19),85,https://clinicaltrials.gov/show/NCT04502433,NA
NCT04522492,ClinicalTrials.gov,2020-08-07,2020-08-11,FALSE,Not Recruiting,Not Applicable,Interventional,Brazil,Impact of COVID-19 on Mental Health of Patients With Skin Picking,18,https://clinicaltrials.gov/show/NCT04522492,NA
NCT04526990,ClinicalTrials.gov,2020-08-22,2020-09-15,FALSE,Recruiting,Phase 3,Interventional,"Chile, Argentina, Russian Federation, Pakistan, Mexico",Phase III Trial of A COVID-19 Vaccine of Adenovirus Vector in Adults 18 Years Old and Above,40000,https://clinicaltrials.gov/show/NCT04526990,NA
NCT04530396,ClinicalTrials.gov,2020-08-25,2020-09-07,FALSE,Not Recruiting,Phase 3,Interventional,Russian Federation,"Clinical Trial of Efficacy, Safety, and Immunogenicity of Gam-COVID-Vac Vaccine Against COVID-19",33758,https://clinicaltrials.gov/show/NCT04530396,NA
NCT04542343,ClinicalTrials.gov,2020-09-03,2020-11-01,FALSE,Recruiting,Not Applicable,Interventional,United States,COVID-19 Risk Reduction Among African American Parishioners,265,https://clinicaltrials.gov/show/NCT04542343,NA
NCT04545242,ClinicalTrials.gov,2020-09-05,2021-02-08,FALSE,Not Recruiting,Phase 4,Interventional,Spain,Efficacy of DEXamethasone in Patients With Acute Hypoxemic REspiratory Failure Caused by INfEctions,980,https://clinicaltrials.gov/show/NCT04545242,NA
NCT04572412,ClinicalTrials.gov,2020-09-29,2020-11-25,FALSE,Recruiting,Not Applicable,Interventional,United Kingdom,Low Dose Lung Radiotherapy to Treat COVID-19 Pneumonia,13,https://clinicaltrials.gov/show/NCT04572412,NA
NCT04581083,ClinicalTrials.gov,2020-10-07,2020-10-08,FALSE,Not Recruiting,Not Applicable,Observational,Bolivia,"Validation of Laboratory Techniques, Strategies, and Types of Samples for Epidemiological Control in the Covid-19 Pandemic",30,https://clinicaltrials.gov/show/NCT04581083,NA
NCT04587219,ClinicalTrials.gov,2020-10-13,2020-10-22,FALSE,Not Recruiting,Phase 2,Interventional,Russian Federation,"The Study of ""Gam-COVID-Vac"" Vaccine Against COVID-19 With the Participation of Volunteers of 60 y.o and Older",110,https://clinicaltrials.gov/show/NCT04587219,NA
NCT04605887,ClinicalTrials.gov,2020-10-27,2021-01-18,FALSE,Recruiting,Phase 2,Interventional,Israel,Angiotensin 1-7 as a Therapy in the Treatment of COVID-19,120,https://clinicaltrials.gov/show/NCT04605887,NA
NCT04609865,ClinicalTrials.gov,2020-10-23,2020-11-04,FALSE,Recruiting,Phase 3,Interventional,France,Impact of Intravenous Lidocaine on Clinical Outcomes of Patients With ARDS During COVID-19 Pandemia,100,https://clinicaltrials.gov/show/NCT04609865,NA
NCT04630054,ClinicalTrials.gov,2020-11-13,2020-11-15,FALSE,Recruiting,Not Applicable,Interventional,Bangladesh,Face Masks to Reduce COVID-19 in Bangladesh,450000,https://clinicaltrials.gov/show/NCT04630054,NA
NCT04632732,ClinicalTrials.gov,2020-11-03,2020-10-26,TRUE,Recruiting,Not Applicable,Observational,Canada,Apelin; ACE2 and Biomarkers of Alveolar-capillary Permeability in SARS-cov-2 (COVID-19).,140,https://clinicaltrials.gov/show/NCT04632732,NA
NCT04634799,ClinicalTrials.gov,2020-11-17,2021-01-08,FALSE,Recruiting,Phase 1/Phase 2,Interventional,United States,Study To antagOnize Plasminogen Activator Inhibitor-1 in Severe COVID-19,80,https://clinicaltrials.gov/show/NCT04634799,NA
NCT04661410,ClinicalTrials.gov,2020-12-07,2020-12-01,TRUE,Recruiting,Not Applicable,Interventional,United States,Reward Re-Training: A New Treatment to Address Reward Imbalance During the COVID-19 Pandemic,60,https://clinicaltrials.gov/show/NCT04661410,NA
NCT04665115,ClinicalTrials.gov,2020-12-10,2021-06-30,FALSE,Not Recruiting,Phase 2,Interventional,United States,Ibrutinib for the Treatment of Patients With B-Cell Malignancies Who Are Infected With Coronavirus Disease 2019 (COVID-19),134,https://clinicaltrials.gov/show/NCT04665115,NA
NCT04667442,ClinicalTrials.gov,2020-12-10,2020-12-01,TRUE,Recruiting,Not Applicable,Observational,United States,Investigational Performance Evaluation of the Nanomix eLabÂ® COVID-19 Rapid Antigen Panel With Samples From COVID-19 Positive and Negative Human Subjects,60,https://clinicaltrials.gov/show/NCT04667442,NA
NCT04700254,ClinicalTrials.gov,2021-01-06,2020-12-28,TRUE,Not Recruiting,Not Applicable,Observational,Greece,"Anxiety, Depression and Eating Attitudes of Diabetes Mellitus Patients During COVID-19 Lockdown in Greece",150,https://clinicaltrials.gov/show/NCT04700254,NA
NCT04701892,ClinicalTrials.gov,2021-01-07,2021-01-19,FALSE,Recruiting,Not Applicable,Observational,Belgium,poSt Covid-19 Infection centraL Sensitisation 2,200,https://clinicaltrials.gov/show/NCT04701892,NA
NCT04703452,ClinicalTrials.gov,2021-01-07,2021-01-19,FALSE,Recruiting,Not Applicable,Observational,Belgium,poSt Covid-19 Infection centraL sENsitisaTion,100,https://clinicaltrials.gov/show/NCT04703452,NA
NCT04712344,ClinicalTrials.gov,2020-12-30,2021-01-18,FALSE,Recruiting,Phase 2,Interventional,Germany,Assessment of Efficacy and Safety of Therapy With COVID-19 Convalescent Plasma in Subjects With Severe COVID-19 (IPCO),58,https://clinicaltrials.gov/show/NCT04712344,NA
NCT04713540,ClinicalTrials.gov,2021-01-14,2021-01-01,TRUE,Recruiting,Not Applicable,Observational,Turkey,Rehabilitation in Intensive Care Unit,58,https://clinicaltrials.gov/show/NCT04713540,NA
NCT04714138,ClinicalTrials.gov,2021-01-14,2021-01-05,TRUE,Recruiting,Not Applicable,Observational,France,Remote Video Consultation for Quality of Life Assessment in Patients Hospitalised After COVID-19 Infection,190,https://clinicaltrials.gov/show/NCT04714138,NA
NCT04714333,ClinicalTrials.gov,2021-01-15,2020-05-06,TRUE,Recruiting,Not Applicable,Observational,Canada,Detection of Covid-19 by Volatile Organic Compounds in Exhaled Breath,1000,https://clinicaltrials.gov/show/NCT04714333,NA
NCT04715295,ClinicalTrials.gov,2020-10-02,2020-10-05,FALSE,Recruiting,Phase 4,Interventional,Cameroon,Safety and Efficacy of Doxycycline and Rivaroxaban in COVID-19,200,https://clinicaltrials.gov/show/NCT04715295,NA
NCT04715919,ClinicalTrials.gov,2020-12-28,2021-01-15,FALSE,Recruiting,Not Applicable,Observational,Turkey,Long Term Outcomes of Coronavirus Disease-19 (COVID-19),80,https://clinicaltrials.gov/show/NCT04715919,NA
NCT04715997,ClinicalTrials.gov,2021-01-18,2020-12-30,TRUE,Recruiting,Phase 1/Phase 2,Interventional,South Korea,"Safety and Immunogenicity Study of GX-19N, a COVID-19 Preventive DNA Vaccine in Healthy Adults",170,https://clinicaltrials.gov/show/NCT04715997,NA
NCT04716023,ClinicalTrials.gov,2020-07-02,2019-08-23,TRUE,Recruiting,Not Applicable,Observational,United Kingdom,Physiology and Structure of the Small Airways in Patients With Chronic Airflow Obstruction or COVID-19,42,https://clinicaltrials.gov/show/NCT04716023,NA
NCT04716088,ClinicalTrials.gov,2021-01-15,2020-11-18,TRUE,Not Recruiting,Not Applicable,Observational,Slovenia,Rapid Antigen Testing for SARS-CoV-2 Among Healthcare Workers to Prevent Spread of COVID-19,36,https://clinicaltrials.gov/show/NCT04716088,NA
NCT04716179,ClinicalTrials.gov,2021-01-17,2021-01-18,FALSE,Recruiting,Not Applicable,Interventional,Russian Federation,Prospective Two-arm Study of Fertility in Men With COVID-19,88,https://clinicaltrials.gov/show/NCT04716179,NA
NCT04716465,ClinicalTrials.gov,2021-01-18,2021-01-19,FALSE,Recruiting,Not Applicable,Observational,Belgium,Dysautonomia in Patients Post COVID-19 Infection,200,https://clinicaltrials.gov/show/NCT04716465,NA
NCT04716543,ClinicalTrials.gov,2020-12-14,2021-03-01,FALSE,Not Recruiting,Not Applicable,Observational,No Country Given,Epidemiological Investigation of COVID-19 in Laos Using a One-Health Approach in Human and Animals,5400,https://clinicaltrials.gov/show/NCT04716543,NA
NCT04716647,ClinicalTrials.gov,2021-01-18,2020-10-09,TRUE,Not Recruiting,Not Applicable,Interventional,United Kingdom,Feasibility of Ayurveda in Patients With Mild-to-Moderate COVID-19: A Community-Based Participatory Research,28,https://clinicaltrials.gov/show/NCT04716647,NA
NCT04716998,ClinicalTrials.gov,2021-01-17,2021-01-01,TRUE,Recruiting,Phase 1/Phase 2,Interventional,Israel,Safety and the Efficacy of MesenCure for the Treatment of Pulmonary Manifestations of COVID-19,35,https://clinicaltrials.gov/show/NCT04716998,NA
NCT04717024,ClinicalTrials.gov,2021-01-19,2020-09-15,TRUE,Recruiting,Not Applicable,Observational,United States,The Nanowear Wearable Covid-19 Observational and Analysis Trend,100,https://clinicaltrials.gov/show/NCT04717024,NA
NCT04718285,ClinicalTrials.gov,2021-01-15,2021-01-30,FALSE,Not Recruiting,Phase 2,Interventional,Turkey,Investigation the Effect of Montelukast in COVID-19,380,https://clinicaltrials.gov/show/NCT04718285,NA
NCT04718480,ClinicalTrials.gov,2021-01-18,2020-11-27,TRUE,Recruiting,Phase 2,Interventional,Hungary,Fluvoxamine Administration in Moderate SARS-CoV-2 (COVID-19) Infected Patients,100,https://clinicaltrials.gov/show/NCT04718480,NA
NCT04718506,ClinicalTrials.gov,2021-01-16,2021-01-12,TRUE,Recruiting,Not Applicable,Interventional,Spain,Rehabilitation for Post-COVID-19 Syndrome Through a Supervised Exercise Intervention,56,https://clinicaltrials.gov/show/NCT04718506,NA
NCT04719182,ClinicalTrials.gov,2021-01-18,2020-09-01,TRUE,Not Recruiting,Not Applicable,Observational,Netherlands,Practice of Adjunctive Treatments in Intensive Care Unit Patients With COVID-19,1000,https://clinicaltrials.gov/show/NCT04719182,NA
NCT04719208,ClinicalTrials.gov,2020-10-21,2020-10-06,TRUE,Recruiting,Not Applicable,Interventional,United States,[COVID-19] Reduction of Sars-CoV-2 Oral Viral Load With Prophylactic Mouth Rinse,60,https://clinicaltrials.gov/show/NCT04719208,NA
NCT04719234,ClinicalTrials.gov,2021-01-20,2020-06-15,TRUE,Not Recruiting,Not Applicable,Interventional,Turkey,Lung Ultrasonography in COVID-19 Pneumonia,60,https://clinicaltrials.gov/show/NCT04719234,NA
NCT04720404,ClinicalTrials.gov,2021-01-12,2020-06-23,TRUE,Recruiting,Not Applicable,Interventional,Netherlands,Mindful Prevention of Psychopathology in Healthcare Workers During the COVID-19 Crisis (COVID-19 MindPreP),220,https://clinicaltrials.gov/show/NCT04720404,NA
NCT04720612,ClinicalTrials.gov,2021-01-13,2021-02-01,FALSE,Not Recruiting,Phase 2,Interventional,Canada,COVID-19 Immunologic Antiviral Therapy With Omalizumab,200,https://clinicaltrials.gov/show/NCT04720612,NA
NCT04720794,ClinicalTrials.gov,2020-10-13,2020-09-25,TRUE,Not Recruiting,Not Applicable,Interventional,United States,A Study To Evaluate The Performance of the Lucira Health All-In-One COVID-19 Test Kit vs Hologic Panther Fusion,101,https://clinicaltrials.gov/show/NCT04720794,NA
NCT04721236,ClinicalTrials.gov,2021-01-20,2020-11-19,TRUE,Recruiting,Not Applicable,Interventional,Italy,Early Use of Hyperimmune Plasma in COVID-19,300,https://clinicaltrials.gov/show/NCT04721236,NA
NCT04721457,ClinicalTrials.gov,2021-01-19,2021-01-03,TRUE,Recruiting,Phase 4,Interventional,Saudi Arabia,The Efficacy of Pre-procedural Mouth Rinses on COVID-19 Saliva Viral Load,120,https://clinicaltrials.gov/show/NCT04721457,NA
NCT04723407,ClinicalTrials.gov,2021-01-22,2021-02-01,FALSE,Not Recruiting,Not Applicable,Observational,France,Assessment of the Psychological Impact of the COVID19 (SARS-CoV-2) Pandemic on Patients With Chronic Inflammatory Rheumatism,950,https://clinicaltrials.gov/show/NCT04723407,NA
NCT04723550,ClinicalTrials.gov,2021-01-21,2021-01-05,TRUE,Recruiting,Not Applicable,Interventional,China,COVID-19 Lockdown Related Telemedicine for Type 2 Diabetes,120,https://clinicaltrials.gov/show/NCT04723550,NA
NCT04723576,ClinicalTrials.gov,2021-01-14,2020-12-03,TRUE,Recruiting,Not Applicable,Interventional,United States,Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),2132,https://clinicaltrials.gov/show/NCT04723576,NA
NCT04723589,ClinicalTrials.gov,2020-11-26,2021-02-01,FALSE,Not Recruiting,Phase 2,Interventional,No Country Given,Restoration of Endothelial Integrity in Patients With COVID-19 (RELIC),40,https://clinicaltrials.gov/show/NCT04723589,NA
NCT04724538,ClinicalTrials.gov,2020-12-29,2020-10-15,TRUE,Recruiting,Phase 1/Phase 2,Interventional,Russian Federation,Inhalation Low Dose Radionuclide Therapy in Treatment COVID-19,15,https://clinicaltrials.gov/show/NCT04724538,NA
NCT04724616,ClinicalTrials.gov,2021-01-10,2021-01-06,TRUE,Recruiting,Not Applicable,Interventional,Austria,CARTOON: CoronAviRus (COVID-19) educaTional prOgram fOr childreN,60,https://clinicaltrials.gov/show/NCT04724616,NA
NCT04724629,ClinicalTrials.gov,2020-10-05,2021-01-05,FALSE,Recruiting,Phase 3,Interventional,Brazil,Survival TRial Using CytoKines in COVID-19 (STRUCK Trial),60,https://clinicaltrials.gov/show/NCT04724629,NA
NCT04724681,ClinicalTrials.gov,2020-10-21,2021-02-01,FALSE,Recruiting,Not Applicable,Interventional,Denmark,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,800,https://clinicaltrials.gov/show/NCT04724681,NA
NCT04728243,ClinicalTrials.gov,2021-01-20,2021-02-01,FALSE,Not Recruiting,Not Applicable,Interventional,No Country Given,WHO QualityRights E-training in Ghana,216,https://clinicaltrials.gov/show/NCT04728243,NA
ACTRN12620000516987,ANZCTR,2020-04-27,2020-11-25,FALSE,Not Recruiting,Not Applicable,Interventional,New Zealand,Testing a wellbeing app to support wellbeing during the Covid-19 pandemic,90,https://anzctr.org.au/ACTRN12620000516987.aspx,NA
ACTRN12620000641998,ANZCTR,2020-06-01,2020-03-06,TRUE,Not Recruiting,Not Applicable,Observational,"United States, Australia",Ventricular Arrhythmias in Implantable Cardioverter Defibrillator Patients During the COVID-19 Pandemic,6000,https://anzctr.org.au/ACTRN12620000641998.aspx,NA
ACTRN12620000634976,ANZCTR,2020-05-29,2020-06-23,FALSE,Not Recruiting,Not Applicable,Interventional,New Zealand,Testing an Online Coping Skills Intervention for People Living with Chronic Illness During the Covid-19 Pandemic,46,https://anzctr.org.au/ACTRN12620000634976.aspx,NA
ACTRN12621000067875,ANZCTR,2021-01-27,2021-02-17,FALSE,Not Recruiting,Phase 1,Interventional,Australia,Assessment of the safety and tolerability of inhaled aerosolised ethanol in adult volunteers for COVID-19,18,https://anzctr.org.au/ACTRN12621000067875.aspx,NA
ACTRN12620000982910,ANZCTR,2020-09-30,2021-02-15,FALSE,Not Recruiting,Phase 3,Interventional,Australia,A randomized double-blind placebo-controlled trial of oral ivermectin for outpatient treatment of those at high risk for hospitalization due to COVID-19,400,https://anzctr.org.au/ACTRN12620000982910.aspx,NA
ACTRN12621000065897,ANZCTR,2021-01-27,2021-01-02,TRUE,Not Recruiting,Not Applicable,Observational,Australia,An investigation of fit testing of face masks in a real world intensive care setting during the COVID-19 pandemic,50,https://anzctr.org.au/ACTRN12621000065897.aspx,NA
ISRCTN17941313,ISRCTN,2021-01-20,2020-01-02,TRUE,Recruiting,Not Applicable,Interventional,"Tanzania, Nigeria",Determining trustworthiness and safety of remote consulting during the COVID-19 pandemic in primary healthcare for chronic disease populations in Nigeria and Tanzania,800,http://isrctn.com/ISRCTN17941313,NA
ISRCTN33260034,ISRCTN,2020-08-20,2020-10-20,FALSE,Recruiting,Phase 2,Interventional,United Kingdom,Adalimumab for coronavirus in community care,750,http://isrctn.com/ISRCTN33260034,NA
ChiCTR2000040146,ChiCTR,2020-11-22,2020-12-02,FALSE,Not Recruiting,Phase 2,Interventional,China,"A Phase II, Randomized, Double-Blinded, Placebo-Controlled, Dose-Finding Clinical Trial to Evaluate the Safety and Immunogenicity of Different Doses of COVID-19 DNA Vaccine INO-4800 Administered Intradermally Followed by Electroporation in Healthy Adult and Elderly Volunteers",640,http://www.chictr.org.cn/showproj.aspx?proj=64452,NA
ChiCTR2000039462,ChiCTR,2020-10-28,2020-10-27,TRUE,Recruiting,Phase 2,Interventional,China,A phase II clinical trial for inactivated SARS-CoV-2 (COVID-19) Vaccine (Vero Cells),1000,http://www.chictr.org.cn/showproj.aspx?proj=63353,NA
ChiCTR2000039369,ChiCTR,2020-10-24,2020-02-28,TRUE,Not Recruiting,Not Applicable,Interventional,China,The Effects of Narrative Exposure Therapy on COVID-19 Patients with Post-Traumatic Stress Disorder: a Randomized Controlled Trial,111,http://www.chictr.org.cn/showproj.aspx?proj=63048,NA
ChiCTR2000039364,ChiCTR,2020-10-24,2020-10-30,FALSE,Recruiting,Not Applicable,Observational,China,The clinical characteristics and the etiology of COVID-19 infected patients with myocardial damage,200,http://www.chictr.org.cn/showproj.aspx?proj=63240,NA
ChiCTR2000032457,ChiCTR,2020-04-29,2020-05-01,FALSE,Recruiting,Not Applicable,Interventional,China,Application of pulmonary rehabilitation exercise in the treatment of novel coronavirus pneumonia (COVID-19) patients during convalescence period.,60,http://www.chictr.org.cn/showproj.aspx?proj=52925,NA
NCT04290780,ClinicalTrials.gov,2020-02-27,2020-03-09,FALSE,Recruiting,Not Applicable,Observational,France,COVID-19 - Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus,300,https://clinicaltrials.gov/show/NCT04290780,NA
NCT04331106,ClinicalTrials.gov,2020-03-27,2020-03-27,FALSE,Recruiting,Not Applicable,Observational,Germany,Survey of the Anxiety Associated With the COVID-19 Pandemic,7500,https://clinicaltrials.gov/show/NCT04331106,NA
NCT04333225,ClinicalTrials.gov,2020-04-01,2020-04-03,FALSE,Not Recruiting,Phase 2,Interventional,United States,Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers,228,https://clinicaltrials.gov/show/NCT04333225,NA
NCT04334434,ClinicalTrials.gov,2020-04-02,2020-07-30,FALSE,Not Recruiting,Not Applicable,Interventional,Turkey,Telerehabilitation in Individuals Over 65 Years of Age Having Social Isolation Due to Coronavirus (Covid-19),30,https://clinicaltrials.gov/show/NCT04334434,NA
NCT04337996,ClinicalTrials.gov,2020-04-01,2020-07-13,FALSE,Not Recruiting,Not Applicable,Interventional,France,Dynamic Evaluation of COVID-19 Diagnostic Tests,8,https://clinicaltrials.gov/show/NCT04337996,NA
NCT04338958,ClinicalTrials.gov,2020-04-07,2020-04-22,FALSE,Recruiting,Phase 2,Interventional,Germany,Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation,200,https://clinicaltrials.gov/show/NCT04338958,NA
NCT04341584,ClinicalTrials.gov,2020-04-07,2020-04-08,FALSE,Not Recruiting,Phase 2,Interventional,France,CORIMUNO-ANA: Trial Evaluating Efficacy Of Anakinra In Patients With Covid-19 Infection,161,https://clinicaltrials.gov/show/NCT04341584,NA
NCT04346693,ClinicalTrials.gov,2020-04-08,2020-04-08,FALSE,Not Recruiting,Phase 3,Interventional,Russian Federation,An Open Randomized Study of Dalargin Effectiveness in Patients With Severe and Critical Manifestations of SARS-COVID-19,320,https://clinicaltrials.gov/show/NCT04346693,NA
NCT04347031,ClinicalTrials.gov,2020-04-07,2020-04-08,FALSE,Not Recruiting,Phase 2/Phase 3,Interventional,Russian Federation,A Study of the Effectiveness of an Off Label Mefloquine Use for the Treatment of Patients With COVID19,320,https://clinicaltrials.gov/show/NCT04347031,NA
NCT04347174,ClinicalTrials.gov,2020-03-31,2020-04-30,FALSE,Not Recruiting,Not Applicable,Interventional,India,A Clinical Trial of Mycobacterium w in Critically Ill COVID 19 Patients,40,https://clinicaltrials.gov/show/NCT04347174,NA
NCT04347915,ClinicalTrials.gov,2020-04-14,2020-05-06,FALSE,Recruiting,Phase 2,Interventional,South Korea,The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19,60,https://clinicaltrials.gov/show/NCT04347915,NA
NCT04354155,ClinicalTrials.gov,2020-04-13,2020-06-02,FALSE,Recruiting,Phase 2,Interventional,United States,COVID-19 Anticoagulation in Children - Thromboprophlaxis (COVAC-TP) Trial,38,https://clinicaltrials.gov/show/NCT04354155,NA
NCT04365127,ClinicalTrials.gov,2020-04-24,2020-04-27,FALSE,Not Recruiting,Phase 1,Interventional,United States,Progesterone for the Treatment of COVID-19 in Hospitalized Men,40,https://clinicaltrials.gov/show/NCT04365127,NA
